Main Head,Main Relation,Main Tail,Sub Head,Sub Relation,Sub Tail,Relation to Main,Paragraph ID
All 24 participants,completed,the treatment and 1-month follow-up.,All 24 participants,completed,the treatment and 1-month follow-up.,All 24 participants completed the treatment and 1-month follow-up.,875
Active aiTBS,significantly outperformed,sham stimulation in reducing depressive symptoms.,Active aiTBS,significantly outperformed,sham stimulation in reducing depressive symptoms.,Active aiTBS significantly outperformed sham stimulation in reducing depressive symptoms.,876
MADRS scores in the active treatment group,decreased,from a mean of 30.4 at baseline to 10.5 after treatment.,MADRS scores in the active treatment group,decreased,from a mean of 30.4 at baseline to 10.5 after treatment.,MADRS scores in the active treatment group decreased from a mean of 30.4 at baseline to 10.5 after treatment.,877
The sham group's MADRS scores,showed a minor decrease,from a mean of 28.0 at baseline to 25.3 posttreatment.,The sham group's MADRS scores,showed a minor decrease,from a mean of 28.0 at baseline to 25.3 posttreatment.,The sham group's MADRS scores showed a minor decrease from a mean of 28.0 at baseline to 25.3 posttreatment.,878
50% of participants,achieved remission,after 5 days of treatment in the active intermittent Theta Burst Stimulation (aiTBS) group.,50% of participants,achieved remission,after 5 days of treatment in the active intermittent Theta Burst Stimulation (aiTBS) group.,50% of participants achieved remission after 5 days of treatment in the active intermittent Theta Burst Stimulation (aiTBS) group.,879
No participants in the sham group,experienced remission,following the same treatment duration.,No participants in the sham group,experienced remission,following the same treatment duration.,No participants in the sham group experienced remission following the same treatment duration.,880
The results,show,clinical efficacy in treating a difficult-to-treat condition.,The results,show,clinical efficacy in treating a difficult-to-treat condition.,The results show clinical efficacy in treating a difficult-to-treat condition.,881
Improvement,was achieved,in a short time.,Improvement,was achieved,in a short time.,Improvement was achieved in a short time.,882
The participant sample,exhibited,high depression severity.,The participant sample,exhibited,high depression severity.,The participant sample exhibited high depression severity.,883
The participant sample,displayed,treatment resistance.,The participant sample,displayed,treatment resistance.,The participant sample displayed treatment resistance.,884
High depression severity and treatment resistance,are typically associated with,poor response.,High depression severity and treatment resistance,are typically associated with,poor response.,High depression severity and treatment resistance are typically associated with poor response.,885
The effect,was observed,despite the challenges of high depression severity and treatment resistance.,The effect,was observed,despite the challenges of high depression severity and treatment resistance.,The effect was observed despite the challenges of high depression severity and treatment resistance.,886
Sheline,communicated to,Medscape Medical News that active and sham stimulation showed no differences in the adverse events of headache and dizziness.,Sheline,communicated to,Medscape Medical News that active and sham stimulation showed no differences in the adverse events of headache and dizziness.,Sheline communicated to Medscape Medical News that active and sham stimulation showed no differences in the adverse events of headache and dizziness.,887
Sheline,reported,no incidences of manic 'flip' in the study.,Sheline,reported,no incidences of manic 'flip' in the study.,Sheline reported no incidences of manic 'flip' in the study.,888
The Young Mania Rating Scale scores,remained,stable in both active and sham groups.,The Young Mania Rating Scale scores,remained,stable in both active and sham groups.,The Young Mania Rating Scale scores remained stable in both active and sham groups.,889
There,was no difference,between active and sham groups in terms of Young Mania Rating Scale scores.,There,was no difference,between active and sham groups in terms of Young Mania Rating Scale scores.,There was no difference between active and sham groups in terms of Young Mania Rating Scale scores.,890
Researchers,observed,"a ""large effect size"" in active aiTBS treatments.",Researchers,observed,"a ""large effect size"" in active aiTBS treatments.","Researchers observed a ""large effect size"" in active aiTBS treatments.",891
The large effect size,may result from,optimized stimulation targeting.,The large effect size,may result from,optimized stimulation targeting.,The large effect size may result from optimized stimulation targeting.,892
Accelerated time course,contributes to,"the ""large effect size"" in active aiTBS.",Accelerated time course,contributes to,"the ""large effect size"" in active aiTBS.","Accelerated time course contributes to the ""large effect size"" in active aiTBS.",893
High pulse number,is a factor in,"the ""large effect size"" of active aiTBS, with 18,000 per day and 90,000 total.",High pulse number,is a factor in,"the ""large effect size"" of active aiTBS, with 18,000 per day and 90,000 total.","High pulse number is a factor in the ""large effect size"" of active aiTBS, with 18,000 per day and 90,000 total.",894
Future studies,should investigate,the specific contributions of each protocol component.,Future studies,should investigate,the specific contributions of each protocol component.,Future studies should investigate the specific contributions of each protocol component.,895
The goal,is to optimize and personalize treatment,using different protocol components.,The goal,is to optimize and personalize treatment,using different protocol components.,The goal is to optimize and personalize treatment using different protocol components.,896
Research,should assess,the long-term durability of the antidepressant effects of accelerated intermittent theta burst stimulation (aiTBS).,Research,should assess,the long-term durability of the antidepressant effects of accelerated intermittent theta burst stimulation (aiTBS).,Research should assess the long-term durability of the antidepressant effects of accelerated intermittent theta burst stimulation (aiTBS).,897
Medscape Medical News,contacted,"Nolan Williams, MD, for commentary on the study.",Medscape Medical News,contacted,"Nolan Williams, MD, for commentary on the study.","Medscape Medical News contacted Nolan Williams, MD, for commentary on the study.",898
